n	x	y
1	20	420
2	20	480
3	40	320
4	60	180
5	60	240
6	60	460
7	100	60
8	100	240
9	100	400
10	100	480
11	120	120
12	120	180
13	140	20
14	140	260
15	140	400
16	160	120
17	180	240
18	200	400
19	220	160
20	220	300
21	240	460
22	260	320
23	280	100
24	280	220
25	280	280
26	280	480
27	300	140
28	320	100
29	320	240
30	340	20
31	340	160
32	360	200
33	360	460
34	380	40
35	380	120
36	380	160
37	380	240
38	380	320
39	380	380
40	420	80
41	420	160
42	420	200
43	420	300
44	420	340
45	440	380
46	440	420
47	460	60
48	460	120
49	460	340
50	460	460
51	480	180
52	480	300
53	500	480
54	520	160
55	520	340
56	520	420
57	560	320
58	580	120
59	580	260
60	600	460
61	620	320
62	620	420
63	640	140
64	640	480
65	660	240
66	660	420
67	680	80
68	680	300
69	700	340
70	720	80
71	720	200
72	720	260
73	740	340
74	760	220
75	780	140
76	780	300
77	800	420
78	820	480
79	840	240
80	840	420
81	860	200
82	860	300
83	880	140
84	880	260
85	880	360
86	880	400
87	880	460
88	900	100
89	920	20
90	920	140
91	920	420
92	940	100
93	940	200
94	940	340
95	980	20
96	980	80
97	980	240
98	980	340
99	980	420
100	980	480
